% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	28	1095	0
0.109	1	2	11	10	2	28	1095	0
0.109	1	1	11	10	1	28	1095	1
0.109	1	2	11	10	2	28	1095	1
0.124	1	1	13	5	1	24	1692	0
0.124	1	1	13	5	1	24	1692	1
0.125	1	2	13	6	2	6	325	0
0.125	1	2	13	6	2	6	325	1
0.126	1	1	13	7	1	24	1692	0
0.126	1	1	13	7	1	24	1692	1
0.127	1	2	13	8	2	6	325	0
0.127	1	2	13	8	2	6	325	1
0.128	1	1	13	9	1	24	1692	0
0.128	1	1	13	9	1	24	1692	1
0.14	1	1	15	1	1	24	1692	0
0.14	1	1	15	1	1	24	1692	1
0.141	1	2	15	2	2	6	325	0
0.141	1	2	15	2	2	6	325	1
0.142	1	1	15	3	1	24	1692	0
0.142	1	1	15	3	1	24	1692	1
0.143	1	2	15	4	2	6	325	0
0.143	1	2	15	4	2	6	325	1
0.144	1	1	15	5	1	24	1692	0
0.144	1	1	15	5	1	24	1692	1
0.145	1	2	15	6	2	6	325	0
0.145	1	2	15	6	2	6	325	1
0.156	1	1	16	7	1	24	1692	0
0.156	1	1	16	7	1	24	1692	1
0.157	1	2	16	8	2	6	325	0
0.157	1	2	16	8	2	6	325	1
0.158	1	1	16	9	1	24	807	0
0.158	1	2	16	9	2	28	1095	0
0.158	1	1	16	9	1	24	807	1
0.158	1	2	16	9	2	28	1095	1
0.159	1	1	16	10	1	24	1692	0
0.159	1	1	16	10	1	24	1692	1
0.16	1	2	17	1	2	6	325	0
0.16	1	2	17	1	2	6	325	1
0.172	1	1	18	3	1	28	2292	0
0.172	1	1	18	3	1	28	2292	1
0.173	1	1	18	4	1	28	2292	0
0.173	1	1	18	4	1	28	2292	1
0.174	1	2	18	5	2	28	1095	0
0.174	1	1	18	5	1	28	1095	0
0.174	1	2	18	5	2	28	1095	1
0.174	1	1	18	5	1	28	1095	1
0.175	1	2	18	6	2	28	2292	0
0.175	1	2	18	6	2	28	2292	1
0.176	1	2	18	7	2	28	2292	0
0.176	1	2	18	7	2	28	2292	1
0.188	1	1	19	9	1	28	2292	0
0.188	1	1	19	9	1	28	2292	1
0.189	1	1	19	10	1	28	2292	0
0.189	1	1	19	10	1	28	2292	1
0.19	1	2	20	1	2	28	1095	0
0.19	1	1	20	1	1	28	1095	0
0.19	1	2	20	1	2	28	1095	1
0.19	1	1	20	1	1	28	1095	1
0.191	1	2	20	2	2	28	2292	0
0.191	1	2	20	2	2	28	2292	1
0.192	1	2	20	3	2	28	2292	0
0.192	1	2	20	3	2	28	2292	1
0.204	1	1	21	5	1	28	2292	0
0.204	1	1	21	5	1	28	2292	1
0.205	1	2	21	6	2	28	1095	0
0.205	1	1	21	6	1	28	1095	0
0.205	1	2	21	6	2	28	1095	1
0.205	1	1	21	6	1	28	1095	1
0.206	1	2	21	7	2	28	1095	0
0.206	1	1	21	7	1	28	1095	0
0.206	1	2	21	7	2	28	1095	1
0.206	1	1	21	7	1	28	1095	1
0.207	1	2	21	8	2	28	2292	0
0.207	1	2	21	8	2	28	2292	1
0.208	1	2	21	9	2	28	2292	0
0.208	1	2	21	9	2	28	2292	1
0.22	1	1	23	1	1	28	1095	0
0.22	1	2	23	1	2	28	1095	0
0.22	1	1	23	1	1	28	1095	1
0.22	1	2	23	1	2	28	1095	1
0.221	1	1	23	2	1	28	1095	0
0.221	1	2	23	2	2	28	1095	0
0.221	1	1	23	2	1	28	1095	1
0.221	1	2	23	2	2	28	1095	1
0.222	1	1	23	3	1	28	1095	0
0.222	1	2	23	3	2	28	1095	0
0.222	1	1	23	3	1	28	1095	1
0.222	1	2	23	3	2	28	1095	1
0.223	1	2	23	4	2	28	2292	0
0.223	1	2	23	4	2	28	2292	1
0.236	1	1	24	7	1	28	1095	0
0.236	1	2	24	7	2	28	1095	0
0.236	1	1	24	7	1	28	1095	1
0.236	1	2	24	7	2	28	1095	1
0.237	1	1	24	8	1	28	1095	0
0.237	1	2	24	8	2	28	1095	0
0.237	1	1	24	8	1	28	1095	1
0.237	1	2	24	8	2	28	1095	1
0.238	1	1	24	9	1	28	1095	0
0.238	1	2	24	9	2	28	1095	0
0.238	1	1	24	9	1	28	1095	1
0.238	1	2	24	9	2	28	1095	1
0.252	1	1	26	3	1	28	1095	0
0.252	1	2	26	3	2	20	645	0
0.252	1	1	26	3	1	28	1095	1
0.252	1	2	26	3	2	20	645	1
0.253	1	1	26	4	1	28	1095	0
0.253	1	2	26	4	2	20	645	0
0.253	1	1	26	4	1	28	1095	1
0.253	1	2	26	4	2	20	645	1
0.254	1	1	26	5	1	28	1095	0
0.254	1	2	26	5	2	20	645	0
0.254	1	1	26	5	1	28	1095	1
0.254	1	2	26	5	2	20	645	1
0.255	1	2	26	6	2	20	1335	0
0.255	1	2	26	6	2	20	1335	1
0.268	1	1	27	9	1	28	2292	0
0.268	1	1	27	9	1	28	2292	1
0.269	1	2	27	10	2	28	1095	0
0.269	1	1	27	10	1	28	1095	0
0.269	1	2	27	10	2	28	1095	1
0.269	1	1	27	10	1	28	1095	1
0.27	1	2	28	1	2	28	1095	0
0.27	1	1	28	1	1	28	1095	0
0.27	1	2	28	1	2	28	1095	1
0.27	1	1	28	1	1	28	1095	1
0.271	1	2	28	2	2	20	1335	0
0.271	1	2	28	2	2	20	1335	1
0.272	1	2	28	3	2	20	1335	0
0.272	1	2	28	3	2	20	1335	1
0.284	1	1	29	5	1	28	2292	0
0.284	1	1	29	5	1	28	2292	1
0.285	1	1	29	6	1	28	2292	0
0.285	1	1	29	6	1	28	2292	1
0.286	1	2	29	7	2	28	1095	0
0.286	1	1	29	7	1	28	1095	0
0.286	1	2	29	7	2	28	1095	1
0.286	1	1	29	7	1	28	1095	1
0.287	1	2	29	8	2	28	1095	0
0.287	1	1	29	8	1	28	1095	0
0.287	1	2	29	8	2	28	1095	1
0.287	1	1	29	8	1	28	1095	1
0.288	1	2	29	9	2	22	1431	0
0.288	1	2	29	9	2	22	1431	1
0.3	1	1	31	1	1	28	2292	0
0.3	1	1	31	1	1	28	2292	1
0.301	1	1	31	2	1	28	2292	0
0.301	1	1	31	2	1	28	2292	1
0.302	1	2	31	3	2	28	1095	0
0.302	1	1	31	3	1	28	1095	0
0.302	1	2	31	3	2	28	1095	1
0.302	1	1	31	3	1	28	1095	1
0.303	1	2	31	4	2	22	1431	0
0.303	1	2	31	4	2	22	1431	1
0.304	1	2	31	5	2	22	1431	0
0.304	1	2	31	5	2	22	1431	1
0.316	1	1	32	7	1	28	2292	0
0.316	1	1	32	7	1	28	2292	1
