% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	28	469	0	1	1	0
115	1	5	2	0	28	469	0	1	1	0
115	1	1	3	0	4	41	0	1	1	0
115	1	3	4	0	28	469	0	1	1	0
115	1	4	6	0	28	469	0	1	1	0
115	2	2	1	0	28	469	0	1	0	1
115	2	5	2	0	28	469	0	1	0	1
115	2	1	3	0	4	41	0	1	1	1
115	2	3	4	0	28	469	0	1	0	1
115	2	4	6	0	28	469	0	1	0	1
140	1	5	2	0	20	1335	0	1	1	0
142	1	3	4	0	22	1431	0	1	1	0
144	1	4	6	0	20	1335	0	1	1	0
3372	1	4	6	0	28	2292	0	1	1	0
7144	1	2	1	0	28	2292	0	1	0	0
7151	1	2	1	0	28	2292	1	0	1	0
7369	1	5	2	0	28	2292	0	1	1	0
