% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	14	0	16	153	0	1	0
115	1	2	13	0	22	233	0	1	0
115	1	4	11	0	26	301	0	1	0
115	1	5	2	0	16	153	0	1	0
115	1	7	12	0	22	233	0	1	0
115	1	8	4	0	18	177	0	1	0
115	2	5	2	0	16	153	0	1	1
115	2	8	4	0	18	177	0	1	1
115	2	1	14	0	16	153	0	1	1
115	2	2	13	0	22	233	0	1	1
115	2	4	11	0	26	301	0	1	1
115	2	7	12	0	22	233	0	1	1
123	1	3	17	0	10	261	0	1	0
123	2	3	17	0	10	261	0	1	1
127	1	9	1	0	16	967	0	1	0
127	2	9	1	0	16	967	0	1	1
134	1	4	11	0	6	325	0	1	0
134	2	4	11	0	6	325	0	1	1
140	1	1	14	0	16	967	0	1	0
140	2	1	14	0	16	967	0	1	1
144	1	8	4	0	4	225	0	1	0
144	2	8	4	0	4	225	0	1	1
150	1	4	11	0	8	437	0	1	0
150	2	4	11	0	8	437	0	1	1
156	1	6	3	0	18	1143	0	1	0
156	2	6	3	0	18	1143	0	1	1
169	1	4	11	0	8	437	0	1	0
169	2	4	11	0	8	437	0	1	1
170	1	4	11	0	8	437	0	1	0
170	2	4	11	0	8	437	0	1	1
173	1	4	11	0	8	437	0	1	0
173	2	4	11	0	8	437	0	1	1
310	1	10	18	0	6	325	0	1	0
310	2	10	18	0	6	325	0	1	1
342	1	1	14	0	14	807	0	1	0
342	2	1	14	0	14	807	0	1	1
1172	1	6	3	0	4	225	0	1	0
1172	2	6	3	0	4	225	0	1	1
1188	1	6	3	0	4	225	0	1	0
1188	2	6	3	0	4	225	0	1	1
1234	1	6	3	0	8	437	0	1	0
1234	2	6	3	0	8	437	0	1	1
3133	1	5	2	0	18	1143	0	1	0
3133	2	5	2	0	18	1143	0	1	1
3150	1	5	2	0	18	1143	0	1	0
3150	2	5	2	0	18	1143	0	1	1
3173	1	5	2	0	8	437	0	1	0
3173	2	5	2	0	8	437	0	1	1
4390	1	5	2	0	6	325	0	1	0
4390	2	5	2	0	6	325	0	1	1
4489	1	6	3	0	6	325	0	1	0
4489	2	6	3	0	6	325	0	1	1
4506	1	6	3	0	6	325	0	1	0
4506	2	6	3	0	6	325	0	1	1
4529	1	6	3	0	20	1335	0	1	0
4529	2	6	3	0	20	1335	0	1	1
5608	1	5	2	0	6	325	0	1	0
5608	2	5	2	0	6	325	0	1	1
7142	1	9	1	0	6	325	0	1	0
7142	2	9	1	0	6	325	0	1	1
7158	1	9	1	0	6	325	0	1	0
7158	2	9	1	0	6	325	0	1	1
7174	1	9	1	0	4	225	0	1	0
7174	2	9	1	0	4	225	0	1	1
7190	1	9	1	0	4	225	0	1	0
7190	2	9	1	0	4	225	0	1	1
7206	1	9	1	0	4	225	0	1	0
7206	2	9	1	0	4	225	0	1	1
7223	1	9	1	0	2	137	0	1	0
7223	2	9	1	0	2	137	0	1	1
7243	1	9	1	0	2	137	0	1	0
7243	2	9	1	0	2	137	0	1	1
7259	1	9	1	0	2	137	0	1	0
7259	2	9	1	0	2	137	0	1	1
7260	1	9	1	0	2	137	0	1	0
7260	2	9	1	0	2	137	0	1	1
7275	1	9	1	0	2	137	0	1	0
7275	2	9	1	0	2	137	0	1	1
7276	1	9	1	0	2	137	0	1	0
7276	2	9	1	0	2	137	0	1	1
7291	1	9	1	0	8	437	0	1	0
7291	2	9	1	0	8	437	0	1	1
7292	1	9	1	0	8	437	0	1	0
7292	2	9	1	0	8	437	0	1	1
7310	1	9	1	0	8	437	0	1	0
7310	2	9	1	0	8	437	0	1	1
7511	1	9	1	0	14	807	0	1	0
7511	2	9	1	0	14	807	0	1	1
8733	1	9	1	0	12	621	0	1	0
8733	2	9	1	0	12	621	0	1	1
8750	1	9	1	0	12	621	0	1	0
8750	2	9	1	0	12	621	0	1	1
8774	1	9	1	0	16	967	0	1	0
8774	2	9	1	0	16	967	0	1	1
8826	1	5	2	0	14	807	0	1	0
8826	2	5	2	0	14	807	0	1	1
9003	1	9	1	0	6	325	0	1	0
9003	2	9	1	0	6	325	0	1	1
9020	1	9	1	0	2	137	0	1	0
9020	2	9	1	0	2	137	0	1	1
9041	1	9	1	0	2	137	0	1	0
9041	2	9	1	0	2	137	0	1	1
9062	1	9	1	0	18	1143	0	1	0
9062	2	9	1	0	18	1143	0	1	1
9079	1	9	1	0	18	1143	0	1	0
9079	2	9	1	0	18	1143	0	1	1
9096	1	9	1	0	12	621	0	1	0
9096	2	9	1	0	12	621	0	1	1
9111	1	9	1	0	12	621	0	1	0
9111	2	9	1	0	12	621	0	1	1
9128	1	9	1	0	6	325	0	1	0
9128	2	9	1	0	6	325	0	1	1
9149	1	9	1	0	6	325	0	1	0
9149	2	9	1	0	6	325	0	1	1
